x1,x2,models,n,dist
-0.0604258883036726,0.354114534980053,oprobit,1000,chisq
-0.0104765052912385,0.286197912193569,KS,1000,chisq
-0.0499999999999445,0.279999999999945,KDE,1000,chisq
-0.0314864384048838,0.224518592396271,OLS,1000,chisq
-0.0708642128336955,0.478944147650985,ologit,1000,chisq
-0.0421970882601616,0.263269353210436,oprobit,1000,chisq
0.0045427565083862,0.225041457658198,KS,1000,chisq
-0.03,0.220000000000056,KDE,1000,chisq
0.0476265267910751,0.319784913152379,OLS,1000,chisq
0.114831230991728,0.635006589839596,ologit,1000,chisq
0.0705297851795675,0.367835522954572,oprobit,1000,chisq
-0.00587963466578726,0.336591757458267,KS,1000,chisq
0.05,0.32,KDE,1000,chisq
-0.0697193184229616,0.239494660236824,OLS,1000,chisq
-0.0856359593314297,0.524639347988956,ologit,1000,chisq
-0.054125868327122,0.297341753770903,oprobit,1000,chisq
-0.00851736752558263,0.250172743101657,KS,1000,chisq
-0.07,0.239999999999945,KDE,1000,chisq
-0.0179353292275223,0.210550706451222,OLS,1000,chisq
-0.0593738577263222,0.524276661770016,ologit,1000,chisq
-0.0316802586416241,0.292851166879477,oprobit,1000,chisq
-0.108176560653019,0.187772432919125,KS,1000,chisq
-0.0200000000000555,0.21,KDE,1000,chisq
-0.0470165747331416,0.236807339623201,OLS,1000,chisq
-0.110848423194407,0.572826515535073,ologit,1000,chisq
-0.0617662199452036,0.320424378573048,oprobit,1000,chisq
0.0322417132628554,0.24723202306569,KS,1000,chisq
-0.05,0.239999999999945,KDE,1000,chisq
0.0187057973832996,0.245526941045444,OLS,1000,chisq
0.00512828987044941,0.525383481228751,ologit,1000,chisq
0.00811667788476778,0.301312477439192,oprobit,1000,chisq
-0.0798825127017343,0.246057784531297,KS,1000,chisq
0.0199999999999445,0.25,KDE,1000,chisq
-0.0388420251707506,0.284804822543797,OLS,1000,chisq
-0.0846808318401603,0.671830165139808,ologit,1000,chisq
-0.0568090100039946,0.374035351777114,oprobit,1000,chisq
-0.0380075188119416,0.280312097997367,KS,1000,chisq
-0.0400000000000555,0.28,KDE,1000,chisq
-0.0193693130283435,0.23641976146457,OLS,1000,chisq
-0.0102519839393055,0.496027429077469,ologit,1000,chisq
-0.0102618455714484,0.273795850638461,oprobit,1000,chisq
-0.0488876265717758,0.237315516515194,KS,1000,chisq
-0.0199999999998335,0.240000000000056,KDE,1000,chisq
0.00675210831412744,0.26725927364578,OLS,1000,chisq
0.0438535546108974,0.616022806631727,ologit,1000,chisq
0.0231666607121457,0.343691463719844,oprobit,1000,chisq
0.0608097665143322,0.265466874245921,KS,1000,chisq
0.01,0.27,KDE,1000,chisq
-0.0154465684604689,0.310763859900397,OLS,1000,chisq
-0.0474403049976461,0.69809972517105,ologit,1000,chisq
-0.0218551713298141,0.384626537500907,oprobit,1000,chisq
-0.0513174390158792,0.304461900663951,KS,1000,chisq
-0.02,0.31,KDE,1000,chisq
-0.030451872211421,0.259980996459647,OLS,1000,chisq
-0.027580544646005,0.573635421988813,ologit,1000,chisq
-0.0110948993690468,0.322144619556825,oprobit,1000,chisq
-0.0186128541418028,0.261960492108043,KS,1000,chisq
-0.03,0.26,KDE,1000,chisq
-0.0305282361846672,0.238243309787739,OLS,1000,chisq
-0.0893429861995286,0.671371044775034,ologit,1000,chisq
-0.0504626805497814,0.349063144512502,oprobit,1000,chisq
-0.0140201850789377,0.242385591245578,KS,1000,chisq
-0.0300000000000111,0.24,KDE,1000,chisq
-0.00134788142351228,0.301005962756076,OLS,1000,chisq
0.0106948636383478,0.695791208542438,ologit,1000,chisq
0.00651855583091926,0.38761013026054,oprobit,1000,chisq
0.0267496270993751,0.300986659285466,KS,1000,chisq
0,0.3,KDE,1000,chisq
-0.0451850053195608,0.214287352334575,OLS,1000,chisq
-0.110021932512028,0.579359962848098,ologit,1000,chisq
-0.0579200851505918,0.311540024186558,oprobit,1000,chisq
0.0216282678850579,0.233778127205846,KS,1000,chisq
-0.05,0.21,KDE,1000,chisq
0.0189207220808545,0.273366432304725,OLS,1000,chisq
0.0684907165777432,0.622492695351553,ologit,1000,chisq
0.0289031600458126,0.342292647245547,oprobit,1000,chisq
-0.05445605345084,0.272070478485769,KS,1000,chisq
0.02,0.27,KDE,1000,chisq
0.0197888895399863,0.294075609236493,OLS,1000,chisq
-0.0162122607137733,0.585570216044142,ologit,1000,chisq
0.00673127388843955,0.335210223593084,oprobit,1000,chisq
-0.0127711879763542,0.292990518719697,KS,1000,chisq
0.02,0.29,KDE,1000,chisq
-0.0385023609134041,0.257786799487544,OLS,1000,chisq
-0.106761012563552,0.539398110964131,ologit,1000,chisq
-0.0535640242083181,0.294161855868858,oprobit,1000,chisq
-0.0377161873005434,0.260331040329407,KS,1000,chisq
-0.0400000000000555,0.259999999999945,KDE,1000,chisq
-0.112605728614136,0.317630588350835,OLS,1000,chisq
-0.213802905102644,0.690618481807939,ologit,1000,chisq
-0.132066856038966,0.387238156900386,oprobit,1000,chisq
-0.16373666941549,0.30003253482704,KS,1000,chisq
-0.11,0.32,KDE,1000,chisq
0.0135449090482434,0.274436498720976,OLS,1000,chisq
0.0478108579338825,0.539018660544851,ologit,1000,chisq
0.0248860202766021,0.30975875279918,oprobit,1000,chisq
-0.0454000383826768,0.271572530768452,KS,1000,chisq
0.01,0.27,KDE,1000,chisq
-0.0206614205982709,0.262191457616588,OLS,1000,chisq
-0.0423639355500075,0.609863962515503,ologit,1000,chisq
-0.0239766882219665,0.331450146459415,oprobit,1000,chisq
-0.00920038835315654,0.260293713265693,KS,1000,chisq
